RCP_SNO,CKG_NM,CKG_NM_KO,RGTR_ID,RGTR_NM,INQ_CNT,RCMM_CNT,SRAP_CNT,CKG_MTH_ACTO_NM,CKG_STA_ACTO_NM,CKG_MTRL_ACTO_NM,CKG_KND_ACTO_NM,CKG_IPDC,CKG_MTRL_CN,CKG_INBUN_NM,CKG_DODF_NM,CKG_TIME_NM,FIRST_REG_DT,Y_ID
6836180,Feast noodle sauce,잔치국수양념장,depravity114,완소꽃남매,1364559,228,45877,etc,Daily,etc,etc,"I will tell you the golden recipe for the feast noodles. Of course, even the sauce that makes it more delicious ^^",[Materials] Noodles | Pumpkin | Carrot | Egg | Kimju powder | Kimchi (ripe) [broth materials] 1 zoom in broth of soup | Nothing | Leek | 1/2 onions | Kashima (5x5) 2 | 1 tablespoon of soy sauce | Water 1400ml [Seasoning] 4 tablespoons of soy sauce | 1 tablespoon of red pepper powder | 1 tablespoon of plums | 1 tablespoon sesame oil | 1 tablespoon of sesame | 1 tablespoon minced pepper | 1 tablespoon of chopped waves | 1/2 spoon of chopped garlic,2 servings,Beginner,within 30m,20151014,S08tb3QbQ5c
6879215,Beef bulgogi,소불고기,14002395,스와티라마,1362824,16,65340,Stir-fry,etc,Meat,etc,"If you have this one, you can do it too easily! It is a delicious recipe for rice thief that I eat so deliciously ^^",[Materials] Beef Bulgogi 700g | 1 onion | 1 leek | Enoki Mushroom 1 Pack | 1 pack of oyster mushrooms [seasoning] 4T | Steel syrup 2T | Plum liquid 1T | 3T chopped garlic | Soy Soy 12T | A little pepper | Sesame oil 3T,2 servings,high-level,within 30m,20171107,nVzwOOJLt24
6906655,Tofu,두부조림,75274328,치타숑,1310363,5,68765,etc,Daily,etc,Side dish,Rub the rice in the porous tofu stew ~ When the holiday food is tired ~ How about stewing tofu ~ Rub the rice in the tofu stew with the sauce ~ Please eat Kim or kimchi ^^ Check out the recipe video that can be simply stewed by tofu ~,[Materials] Tofu 1 | 1/2 onions | Par 1/2 | 1/2 tablespoons | 1 tablespoon of perilla oil [material] 100ml of water | 4 tablespoons soy sauce | 2 tablespoons of red pepper powder | Oyster sauce 1/2 tbsp | 1 tablespoon of chopped garlic | 1 tablespoon of sugar | 1 tablespoon of sesame | 1 tablespoon of sesame oil,2 servings,Anyone,within 30m,20190215,Eino3yP-Wk0
6884469,Soy sauce,간장쪽갈비,13436375,오언니2,1302963,31,73959,etc,etc,Meat,etc,It is a sweet and tough soy sauce rib recipe that can be eaten by men and women of all ages + children on weekends.,[Materials] 1kg of back ribs | Miso 1T | 5 whole garlic [seasoning] Soy sauce 8T | 4T of sugar | Steel syrup 4T | 2T plum liquid | Taste 4T | Multinated garlic 2T | 1T sesame oil | 700ml of water | Sesame,2 servings,Beginner,within 1h,20180224,FYVcGb8cEQk
6883937,Chicken doritang,닭도리탕,faces7,블레스그레이스,1302234,7,60347,Boiling,etc,Meat,Soup,Blog Integrated Search This is the recipe that had been ranked first for a month. It's a chicken fried chicken that has a rich spicy taste like a restaurant. It is a seasoned sauce that is addicted without swelling and squeezed. 2 tablespoons of soy sauce 5 tablespoon garlic is ※ ※ There is no great rate in the midst of a big ratio.,[Materials] 1 chicken | 1/3 carrots | 1/2 onions | 3 potatoes | 4 green onions 20 centimeters | 4 peppers of Cheongyang peppers [seasoning] 2 tablespoons of red pepper paste | 7 tablespoons of pepper powder | 2 tablespoons sugar | 5 tablespoons of soy sauce | 1 tablespoon of garlic | Water 1 shochu glass,3 servings,middle-level,within 1h,20180213,Ax8ff8w5LUw
6885928,Kimchi Bibim Noodles,김치비빔국수,mk9689,판교댁쏭아,1296314,16,72645,etc,etc,etc,etc,"Bibim noodles that can be made very quickly that you can eat one meal without special ingredients! If you make a sauce for 5-6 minutes to boil the noodles, you can mix it with the sauce and sesame oil made by rinsing it in cold water.",[Materials] Noodles 1.5 servings | 1 tablespoon of cooking oil | Kimchi 2/3 Cup | 1 tablespoon of soy sauce | 1 tablespoon of red pepper paste | 1 tablespoon of red pepper powder | 1 tablespoon of sugar | Oligosaccharide 1/2 tablespoon | 1 tablespoon of vinegar | 1 tablespoon of sesame oil | Sesame,1 servings,Beginner,within 10m,20180322,ULO430mqklI
6903507,Squid,오징어볶음,hancy002,hancy002,1290288,4,65771,Stir-fry,Daily,etc,etc,There is a recipe that sometimes admires the recipe of Baek Jong -won. It's very good to get slightly upright. It's easy to follow with easy recipes. Try it as a menu today ~,[Materials] 2 squid (large size) | Cabbage 1/4 | 1/2 carrots | 1 onion | 2 green peppers | Pa 2 Root | 3 tablespoons of cooking oil [seasoning ingredients] 1 tablespoon sugar | 1 tablespoon of garlic | 1 tablespoon of red pepper paste | 5 tablespoons soy sauce | 3 tablespoons red pepper powder | 1/2 cup | 1 tablespoon of sesame oil | Sesame,4 servings,Anyone,within 30m,20190104,L8Y_vqv_ix8
6623046,Dak bokkeumtang,닭볶음탕,h8j1,쥬쥬씨,1283266,557,6725,Boiling,Daily,Meat,Soup,"I made it along the Baekjongwon Chicken Stir -fry Recipe. If you are not good at cooking, you can make it easy.",[Materials] Chicken 1kg | 2 potatoes | 1/2 onions | Carrot proper amount | Mushroom proper amount | 1 leek | 2 peppers of Cheongyang pepper [seasoning] Soy sauce 1+1/2 Red pepper powder 1 branch | 3 tablespoons sugar | 2 tablespoons of chopped garlic,Over 4 servings,middle-level,Over 1h,20150310,Ax8ff8w5LUw
6864674,Tuna kimchi stew,참치김치찌개,bboeonni12,뽀새댁,1187493,248,43254,Boiling,Daily,etc,Stew,"https://www.youtube.com/channel/UCRS3R1A_GKVORZI_0LNNNQRW I would like to see my YouTube channel together> _ < I challenged it this time, but I made it myself ~ Actually, if only kimchi is delicious, it's not an exaggeration to have a successful recipe.",[Materials] New Kimchi 1 Bowl | Leek 1 Root | 1 can of tuna | 3 tablespoons of cooking oil | 1 tablespoon of red pepper powder | 3 spoons of kimchi soup | 400ml of water,2 servings,Anyone,within 10m,20170202,2ebjEWk4E4I
6845113,Beef radish soup,소고기무국,ssuii928,쑤이,1186075,240,47762,Boiling,Daily,Meat,Soup,"It's easy to make, but it's attractive and cool. It is also a favorite country for our couple. The ingredients are so simple, so what kind of soup are you boiling today? You can boil easily when you are worried.",[Materials] 1/3 of nothing | Beef (for soup) | 1 leek [seasoning] Sesame oil 2T | 1T of liver garlic | (House) Soy Soy Soy sauce | Anchovy broth (rice water available) appropriate amount,2 servings,Anyone,within 30m,20160322,vG07DHeNH9c
6891816,Stir -fry,잔멸치볶음,wnaaldms,미은미은,1106279,3,54155,Stir-fry,Speedy,etc,Side dish,"My four -year -old eg, the youngest, eats anchovy fried ^^ So I always make it as a side dish.",[Materials] 300cc of anchovy 1 soup bowl [seasoning] 3 spoons of oil | 1 tablespoon of soy sauce | 1 tablespoon of sake | 3 spoons of oligosaccharides | 1 tablespoon of sugar teaspoon | 1 tablespoon sesame oil | 1 tablespoon of sesame salt,4 servings,Anyone,within 10m,20180702,Kwig1QzyHUA
6885185,Pork,돼지고기고추장찌개,64159416,땡초랑쫑이랑로또랑,1002057,11,53045,Boiling,Daily,Meat,Stew,Making pork gochujang stew with ingredients at home,[Materials] Pork | 2 potatoes | 1/2 zucchini | 4 Cheongyang peppers | 1 tablespoon of chopped garlic | 2 tablespoons of red pepper paste | 1 onion | 3 tablespoons soy sauce | 1 tablespoon of sugar | 2 tablespoons of oligosaccharide | Salt 2 pinch | 2 tablespoons of sesame oil | 1 tablespoon of red pepper powder,2 servings,Anyone,within 1h,20180309,KOgNHxjHwqk
6872350,Bomb egg steamed,폭탄계란찜,minimini0107,뽕림이,999334,51,48494,etc,Daily,etc,etc,"From now on, the taste and visuals you ate at the restaurant-",[Materials] 3 eggs | Salt 1/3 tablespoons | 1/3 tablespoons of sugar | Large or chives proper amount | Sesame appropriate amount | 1 tablespoon of sesame oil | Water 100ml,2 servings,Beginner,within 15m,20170706,W5j_feDwvOc
6857999,Chicken doritang,닭도리탕,29484037,숑하우스,982957,125,4267,Boiling,Daily,Meat,Soup,"Chicken doritang is always truth. Even if you eat it a few times, Baekjongwon Chicken Stir -fry Golden Recipe. Gochujang Nono. Neat red pepper powder recipe.",[Material] 1 chicken for chicken stir -fried soup | 1/2 carrots | 2 potatoes | 1/4 onions | 2T sugar | Soy Soy 1 Linker | 2-3T red pepper powder | Par 1/2 | Liver garlic 1T | Pepper,2 servings,Anyone,within 30m,20161006,Ax8ff8w5LUw
6841008,Stir -fried,제육볶음,only1a2a3a,랑이의보물상자,976200,915,12418,Stir-fry,etc,Meat,etc,I simply made rice side dishes or night snacks with Baekjongwon's stir -fried recipe ^^,[Materials] Pork 600g | 1 onion | 2 peppers | Leek 1 Root [Seasoning] 2 spoons of sugar | 2 tablespoons of red pepper paste | 2 tablespoons of soy sauce | 2 tablespoons of red pepper powder | 1 tablespoon of chopped garlic | 1 spoon of oyster sauce | 1 tablespoon of oligosaccharides,4 servings,Anyone,within 30m,20160103,chnArCaEpqA
3568149,Mackerel,고등어무조림,swjun,풀향기,971911,90,42680,etc,Daily,etc,etc,"When stewed in mackerel, it tastes good even with the sweet and mineral dietary fiber, but the mackerel stewed with sweet and cool radish has no rice thief. I will introduce the ingredients necessary for the mackerel mackerel rich in DHA.",[Materials] 1 mackerel | 500g | Leek 1 Root | 300ml of water [seasoning] 4 tablespoons of soy sauce | 2 tablespoons of red pepper paste | 1 tablespoon of red pepper powder | 2 tablespoons plums | 2 tablespoons of taste | 1 tablespoon of oligosaccharide | 1 teaspoon chopped garlic | Pepper,2 servings,Beginner,within 30m,20120409,UcMrbi57uy8
6887142,Dak bokkeumtang,닭볶음탕,minimini0107,뽕림이,945731,9,35205,Boiling,Daily,Meat,Soup,Today I made chicken fried soup.,[Material] 1 chicken for chicken stir -fried soup | 2 potatoes | 1 onion | 1/3 carrots | Molded leek (or chives) 2 zoom | Water 600ml | A little sesame [sauce] 2 tablespoons of red pepper powder | 4 tablespoons of red pepper paste | 10 tablespoons of soy sauce | 1 tablespoon of chopped garlic | 4 tablespoons sugar | 1 tablespoon of oligosaccharide | 1 teaspoon ginger powder | 2 tablespoons of Mirim | Pepper,2 servings,Beginner,within 1h,20180412,Ax8ff8w5LUw
6871949,Quail,메추리알장조림,80943821,엘린84,938226,32,36947,etc,Daily,etc,Side dish,You can make a simple quail egg Jangjorim! It is also a favorite side dish without being an adult ^^ http://blog.naver.com/qw3859,[Materials] Massage 270g [Seasoning] 1/2 Cup | 6 tablespoons soy sauce | 2 tablespoons sugar | 2 tablespoons of oligosaccharide | 2 tablespoons of Mirim,4 servings,Anyone,within 30m,20170629,RmZyxKOUbfs
6867256,Bean sprouts,콩나물무침,minimini0107,뽕림이,930845,129,36888,etc,Speedy,Vegetables,Side dish,"Today I made a bean sprouts with red pepper powder after a long time. Spicy bean sprouts are attractive with crispy texture! Even if you just eat it, it is delicious and cooked with fried eggs and a bowl of red pepper paste and a spoonful of sesame oil.",[Materials] 1 bag of bean sprouts | 1/6 units (or chives) | 1/5 carrots [seasoning] 2 tablespoons of red pepper powder | 1/2 tablespoons of chopped garlic | 1 tablespoon of sesame oil | 1 tablespoon of soy sauce | To suit the taste of salt | Sesame salt appropriate amount,2 servings,Anyone,within 10m,20170322,nluWpHDU1S4
6850116,Pork kimchi stew,돼지고기김치찌개,pingkong0309,핑콩이,925221,80,1846,Boiling,Daily,Meat,Stew,It's a rich kimchi stew taste.,[Materials] Pork 300g | 1 Kimchi | 1 tablespoon of sugar | Red pepper powder 2+1/2 spoon | Soy Soy 2+1/2 Spoon | 1/2 onions | Appropriate amount of leek | 1 tablespoon of chopped garlic | 1 Cheongyang Pepper | Appropriate amount of perilla oil | 8 kinds of water cups | Miso 1/2 Spoon | 2 tablespoons of shrimp,4 servings,Beginner,within 1h,20160529,qWbHSOplcvY
5590466,Spam Kimchi Fried Rice,스팸김치볶음밥,qkrhd23,시연성연맘,903640,155,41386,Stir-fry,Daily,Vegetables,etc,"Today, I made spam kimchi fried rice for breakfast and pre -lunch menu. It's a canham at home. There was no old, but the taste kimchi that I left a little for stir -fried was cooked. I wanted to boil the stew, but the stew that rarely seasoned it was Kimchi. I will introduce you to make a bowl cooking spam kimchi fried rice that can be moisturized by adding plenty of seasonings.",[Materials] Kimchi | Spam | Rice [Seasoning] oyster sauce 1+1/2 tablespoon | Oligosaccharide 1+1/2 Tbsp | 1 tablespoon of red pepper paste | 1 Taste of Sake | 1 tablespoon of sesame oil | Pepper,2 servings,Beginner,within 30m,20131222,-RYp4v1XLes
6876121,Sesame leaf,깻잎김치,bhs1009833,주부9단요리톡톡,896956,17,39641,etc,Daily,Vegetables,Side dish,I gave sesame leaves and I put sesame leaf kimchi once.,[Materials] 10 tablespoons of soy sauce | 3 tablespoons of fish sauce | 2 tablespoons of oligosaccharide | 3 tablespoons plums | 5 tablespoons of red pepper powder | 80 ~ 100 sesame leaves [seasoning] 1 onion | 1/2 carrots | 5 sides | 5 garlic Sesame,Over 4 servings,Beginner,within 30m,20170909,-IXviBWtWGY
6873935,Gamjatang,감자탕,80943821,엘린84,885809,17,23473,Boiling,Daily,Meat,Soup,I finally succeeded in potato soup that has failed with Baek Jong -won recipe ~ I don't think there will be anything to eat out for eating potato soup ^^ http://blog.nave.com/qw3859,[Materials] Pigbone 1.3kg | 2 potatoes | 1 Zoom | 1 leek | A little sesame leaves | Water appropriate amount [seasoning] 1 tablespoon of red pepper paste | 1 tablespoon of miso | 3 tablespoons red pepper powder | 1 tablespoon of chopped garlic | 1/2 cup of soy sauce | 3 tablespoons of fish sauce | 4 ~ 5 tablespoons perilla powder,3 servings,Beginner,Over 1h,20170802,8W4dWj3v5wg
6851866,Budaejjigae,부대찌개,ssongmin2,쏭민2,880654,77,1796,Boiling,Daily,etc,Stew,One of the only foods I don't buy outside! Budaejjigae .. It's so delicious that it's not good to go out and eat it. I will make the Baekjongwon Budae Stew immediately because it was similar to my recipe!,[Materials] Sausage 1 Pack | 1 can | Gochujang 2T | 2T red pepper powder | 1T chopped garlic | Soy Soy 3T | 1T sugar | Water 600 ~ 700ml | Kimchi 1 Zoom | 1/2 onions | A little wave | Meat or Bacon (omitted) Appropriate amount | Cheese (Omitted) 1 | One ramen sari (omitted),3 servings,Beginner,within 1h,20160630,8uwmFQH614M
6877896,Stir -fried kimchi,볶음김치,berrychu,베리츄,860117,13,35484,Stir-fry,Daily,Vegetables,Side dish,"I think the soul food of our groom is stir -fried kimchi. Even if there is no other side dish, if you fry one kimchi, you can eat a bowl of rice! I ate well. (If you don't know it like a ghost and ask me to make it quickly ~~ ㅋㅋㅋ) Why do you always make it with a fixed side dish in my house. Berry Chu's fried kimchi golden recipe is made every two weeks.",[Materials] Ripe Kimchi 400g (3 cups) | Kimchi soup 1+1/2 tbsp | 2 tablespoons sugar | Onion (medium) 2/3 | Leek (white) 20cm | 2 tablespoons of cooking oil | Sesame oil 1/3 tablespoons | 1 tablespoon of sesame seeds [kimchi sauce] Soy sauce 2/3 tablespoons | Oligosaccharide 1+1/2 Tbsp | 1+1/2 tablespoon of red pepper powder | Taste 1+1/2 Tbsp | 1 tablespoon of sesame oil | 1 tablespoon,2 servings,Anyone,within 10m,20171014,ZGmv4O8SYyc
6876505,Beef ribs,소갈비찜,80943821,엘린84,850100,18,9529,etc,Daily,Meat,etc,Steamed beef ribs before Chuseok holiday! I made it easy and easy with Baekjongwon recipe :),[Materials] 800g of beef ribs | 2 potatoes | 1/2 carrots | 1 leek | About 1 bottled water [seasoning] 1/2 cup of sugar | Taste 1/2 Cup | 1 cup of water | 1 cup of soy sauce | 2 tablespoons of chopped garlic | Ginger 1/2 tablespoon | 2 tablespoons of sesame oil,4 servings,Anyone,within 1h,20170915,tOrUOZ7oFnc
5407249,Fish cake,어묵볶음,qkrhd23,시연성연맘,848993,90,45094,Stir-fry,Daily,etc,Side dish,It is a national side dish fish cake stir -fry that you can eat deliciously without getting tired.,[Materials] Square Fish Cake 3 | 1/2 onions | A little carrot | Sesame | Cooking oil [seasoning] 1 tablespoon of red pepper powder | 1 tablespoon of soy sauce | 1 teaspoon sesame oil | Oyster sauce 1 tablespoon | Oligosaccharide 1+1/2 Tbsp | 1 teaspoon chopped garlic,3 servings,Beginner,within 15m,20131024,-kbf5FixN28
6896724,Soy soy sauce,감자간장조림,77772297,비바스밥,848143,6,54830,etc,Daily,Vegetables,Side dish,There was a secret to making potatoes ~ Porto Mumo -gon delicious potato ~ ♡ Nice ♡ If you want to be stunned ~,[Materials] 3 potatoes | A little onion | Multi (omitted) A little [seasoning] 3 spoons of soy sauce | 4 spoons of starch syrup | 2 spoons of cooking oil | Plenty of sesame,3 servings,Beginner,within 30m,20180928,U9Q70E_JzEw
6872975,Sausage vegetable fried,소세지야채볶음,berrychu,베리츄,847624,35,44443,Stir-fry,Daily,etc,Side dish,"Stir -fried Vegetables in our classic sausage sausage sausage! It is also called \ 'Soya \'. Soya is really good to eat as a side dish of children and adults! (I wrote it as a side dish of children, but it's a big favorite side dish ... ♥) How to make it is simple and can use Vegetables left at home. Sausage Vegetables stir -fried golden recipes!",[Materials] Vienna Sosi | Onion 1/3 | Paprika 1/3 | Carrot 1/3 | Cooking oil [seasoning] Ketchup 2T | Gochujang 1T | Oyster sauce 1T | Oligosaccharide 1T | 1/3T chopped garlic,4 servings,Beginner,within 30m,20170719,hFW82OfiYSQ
6212927,Beef seaweed soup,소고기미역국,hhj1073,별둘사랑하나,844284,37,2157,Boiling,Speedy,etc,Soup,"In the morning, the warm broth will introduce you to the delicious beef seaweed soup, which is just a good breakfast.",[Materials] Beef little | Seaweed a little [seasoning] slightly chopped garlic | Soy sauce | Sesame oil,Over 4 servings,Beginner,within 1h,20140903,xsTFsunt6-8
6840027,Lotus root,연근조림,didalsdk87,양싸,842169,150,26120,etc,Daily,Vegetables,Side dish,Lotus root stew ... I like it so much. Bob Thief Rice Bob Thief .. Azak Sweet Sweet Salm ~ Let's make lotuses *Large -capacity caution *,[Materials] 2 lotus roots (800g) | Vinegar 3T | Salt 1/2T [Seasoning] Water 500cc | Soy 20t | 15T of sugar | Steel syrup 10T | Sesame,Over 4 servings,Anyone,within 30m,20151216,xmj4VzjNo6s
6897261,Cucumber,오이무침,achim100,좋아좋아3,838953,3,38295,etc,Daily,Vegetables,Side dish,Baekjongwon recipe will take care of it over time.,[Materials] 2 cucumbers | 1/2 onions [Seasoning] Gochujang 1T | 1T of red pepper powder | 1T sugar | Oligosaccharide 1T | 1/2T chopped garlic | 1T soy sauce | Vinegar 1.5T | 1T sesame oil | 1T sesame,4 servings,Anyone,within 10m,20181006,ETXAGw5hMjI
6905743,Stir -fried,제육볶음,96may0504,따봉이kitchen,826986,7,38792,Stir-fry,Speedy,Meat,etc,"If you eat it with rice, I prepared the best delicious meat fried golden. If you eat it with lettuce or mix it with rice, it's a very happy menu without any other side dishes. The sweet and spicy taste rises, so it's a really delicious stir -fry ♡♡♡",[Materials] Pork forelight 600g | 1/2 onions | 2-3 Cheongyang Pepper | 1/3 of the leek [seasoning] 3 tablespoons of red pepper paste | 2 tablespoons of red pepper powder | 1 tablespoon of chopped garlic | 2 tablespoons sugar or plum liquid | 1 tablespoon of soy sauce | A little sesame | Pepper,3 servings,Beginner,within 30m,20190201,chnArCaEpqA
6842041,Budaejjigae,부대찌개,junhh1023,고래언니,825884,1168,27793,Boiling,Daily,etc,Stew,"If you just make it roughly at home, something is not enough !! That's why I just packed it and bought it. Now make it delicious at home",[Materials] 6 lines of ham | Canned Ham small size 1/2 | One zoom in the money (or bacon or pleasure pork belly) | Kimchi 1 Zoom | 1/2 onions | 1-2 leeks | Plenty of chopped garlic | 1 Chedda Cheese | 1 pack of bone bone soup [seasoning] Pepper powder 2T | Gochujang 1T | 2T soy sauce | Taste 1T | Pepper,2 servings,Anyone,within 30m,20160124,8uwmFQH614M
6871912,Tofu Stew,순두부찌개,20618485,조밍키♥,824640,32,36980,Boiling,Daily,etc,Stew,"The process is simple, but it's a taste guarantee. The cool broth is thumb. Let's be confident ^^ ㅎㅎ",[Materials] Fine Pork 5T | 1 bag of tofu | 1/2 onions | Land on Wave 1/2 Stem | 3 pieces of Dingcho | Pumpkin 3 centimeters | Egg yolk (omitted) 1 [seasoning] Taste 2T | 1T sesame oil | Cooking oil 1T | 3 ~ 4T red pepper powder | Soy Soy sauce 1T | 1T chopped garlic | Shrimp 1T | Pepper 3 Talk,2 servings,Anyone,within 15m,20170628,nj-DjQFEZb0
